JTReliability,M_Link_ID,Sum of ReliableVKT,Sum of TotalVKT
0.69256567915,999,1239,1789
0.793532934132,1000,3313,4175
1,1001,79409,79409
0.992638447382,1002,17799,17931
0.743838862559,1003,3139,4220
0.770716441265,1004,34478,44735
0.866010443223,1005,63521,73349
0.894288787449,1006,68177,76236
0.893024461235,1007,44795,50161
0.92915379334,1008,108265,116520
0.804202401372,1009,9377,11660
0.86691092456,1010,91805,105899
0.744764940239,1011,23367,31375
0.820848601736,1012,42561,51850
0.787792293336,1013,7176,9109
0.795196688874,1014,43805,55087
0.785050425153,1015,27790,35399
0.779399977592,1016,90433,116029
0.799897820163,1017,42273,52848
0.78617981142,1018,92884,118146
0.846937970962,1019,150384,177562
0.765337078652,1020,27246,35600
0.836208473455,1021,118857,142138
0.723957820045,1022,51422,71029
0.713313651061,1023,25369,35565
0.737552543847,1024,40707,55192
0.786861617229,1025,177970,226177
0.655887795851,1026,6734,10267
0.641401624673,1027,9317,14526
0.688567424167,1028,68781,99890
0.646996615905,1029,6118,9456
0.920909643847,1030,136267,147970
0.768130405855,1031,30017,39078
0.788828594416,1032,46081,58417
0.804826421412,1033,109124,135587
0.448525607863,1034,867,1933
0.0606884057971,1035,67,1104
None,1036,None,None
0.77784278949,1037,42541,54691
0.654772194098,1038,5303,8099
0.757404037567,1039,62017,81881
0.69712748583,1040,36282,52045
0.508305543568,1041,129562,254890
0.791611668427,1042,143934,181824
0.785964128898,1043,52805,67185
0.770831191088,1044,22489,29175
0.921687187169,1045,100910,109484
0.771791907514,1046,10014,12975
0.786656030169,1047,54236,68945
0.668336464204,1048,6404,9582
0.693408134642,1049,4944,7130
0.814109291774,1050,103168,126725
0.758576614346,1051,29674,39118
0.723925825418,1052,8003,11055
0.679936240651,1053,16636,24467
0.71096195249,1054,39297,55273
0.700688286724,1055,22600,32254
0.811227211122,1056,92776,114365
0.770105061016,1057,68976,89567
0.748119448976,1058,33019,44136
0.824536970337,1059,51508,62469
0.799496836167,1060,20974,26234
0.721039718852,1061,32622,45243
0.678540772532,1062,1581,2330
0.844353134539,1063,35961,42590
0.835451478779,1064,21299,25494
0.863006177076,1065,81731,94705
0.76396738427,1066,17708,23179
0.957139141128,1067,80951,84576
0.834035023491,1068,27338,32778
0.811298880813,1069,36390,44854
0.746053275226,1070,33553,44974
0.76678141136,1071,17820,23240
0.886171213547,1072,942,1063
0.879366557988,1073,1888,2147
0.927495393953,1074,8558,9227
0.963647199046,1075,1617,1678
0.996800563777,1076,70723,70950
0.838225701239,1077,1285,1533
0.788791951202,1078,32458,41149
0.777317397078,1079,29266,37650
0.738901309486,1080,4627,6262
0.757275195963,1081,39320,51923
0.807113277543,1082,37421,46364
0.969380633205,1083,161113,166202
0.834556860651,1084,50020,59936
0.890577061902,1085,78955,88656
0.89436642247,1086,139785,156295
0.70671178793,1087,8771,12411
0.7657408432,1088,13840,18074
0.836760365765,1089,51885,62007
0.726567983156,1090,22775,31346
0.840051489136,1091,161846,192662
0.81753260783,1092,143786,175878
0.731053138325,1093,15945,21811
0.853953723464,1094,30411,35612
0.738078844009,1095,76107,103115
0.713158334261,1096,51239,71848
0.661748150531,1097,16459,24872
0.60377886634,1098,4314,7145
0.82705485935,1099,43690,52826
0.806345891966,1100,88819,110150
0.742485436893,1101,19119,25750
0.710246880807,1102,16053,22602
0.755201958384,1103,48743,64543
0.697983275947,1104,7095,10165
0.870481461141,1105,123631,142026
0.853778084805,1106,77862,91197
0.776751102794,1107,46487,59848
0.91148895509,1108,162163,177910
0.941859222367,1109,44063,46783
