Average of PercLength,Row Labels
0,999
0,1000
0.15625,1001
0.3375,1002
0.115625,1003
0.021875,1004
0.171875,1005
0.159375,1006
0.28125,1007
0.2375,1008
0.065625,1009
0.084375,1010
0.075,1011
0.153605016,1012
0.344827586,1013
0.203761755,1014
0.178125,1015
0.065625,1016
0.103125,1017
0.1,1018
0.0375,1019
0.23125,1020
0.567398119,1021
0.153605016,1022
0.09148265,1023
0.119122257,1024
0.068965517,1025
0.170886076,1026
0.223333333,1027
0.530405405,1028
0.414239482,1029
0.723333333,1030
0.300970874,1031
0.42721519,1032
0.391025641,1033
0.172077922,1034
0.198606272,1035
None,1036
0.185929648,1037
0.170967742,1038
0.119496855,1039
0.072100313,1040
0.087774295,1041
0.075471698,1042
0.369905956,1043
0.309375,1044
0.313479624,1045
0.816129032,1046
0.594936709,1047
0.594339623,1048
0.186119874,1049
0.124600639,1050
0.120253165,1051
0.194357367,1052
0.215189873,1053
0.321766562,1054
0.282131661,1055
0.046875,1056
0.0625,1057
0.065625,1058
0.009375,1059
0.065625,1060
0.1625,1061
0.04375,1062
0.0625,1063
0.0625,1064
0.15,1065
0.109375,1066
0.137931034,1067
0.5125,1068
0.1875,1069
0.084375,1070
0.009375,1071
0.05625,1072
0.35625,1073
0.01875,1074
0.01875,1075
0.109375,1076
0.75625,1077
0.180379747,1078
0.144200627,1079
0.12539185,1080
0.242902208,1081
0.00625,1082
0.034375,1083
0.01875,1084
0.003125,1085
0.021875,1086
0.103125,1087
0.21630094,1088
0.238853503,1089
0.210031348,1090
0.311320755,1091
0.238993711,1092
0.149206349,1093
0.250793651,1094
0.141025641,1095
0.352564103,1096
0.136075949,1097
0.19873817,1098
0.213836478,1099
0.29375,1100
0.15625,1101
0.040625,1102
0.125,1103
0.00625,1104
0.003125,1105
0.009375,1106
0.015625,1107
0.015625,1108
0.171875,1109
